Direct Dependencies,,,,
Title,Version,Declared License,Discovered License(s),
ActiveIO :: Core,3.1.4,Apache-2.0,,
ActiveMQ :: All JAR bundle,5.18.1,,Apache-2.0; GPL-3.0-only; ICU; GPL-2.0-with-classpath-exception; EPL-2.0; BSD-3-Clause; GPL-2.0-only; MIT,
ActiveMQ :: AMQP,5.18.1,Apache-2.0,,
ActiveMQ :: Broker,5.18.1,Apache-2.0,MIT; GPL-3.0-only,
ActiveMQ :: Client,5.18.1,,MIT; GPL-3.0-only; Apache-2.0,
ActiveMQ :: Console,5.18.1,Apache-2.0,,
ActiveMQ :: Generic JMS Pool,5.18.1,Apache-2.0,GPL-3.0-only,
ActiveMQ :: HTTP Protocol Support,5.18.1,Apache-2.0,GPL-2.0-with-classpath-exception; EPL-1.0; CDDL-1.0,
ActiveMQ :: JAAS,5.18.1,Apache-2.0,,
ActiveMQ :: JDBC Store,5.18.1,Apache-2.0,GPL-3.0-only,
ActiveMQ :: KahaDB Store,5.18.1,Apache-2.0,GPL-3.0-only,
ActiveMQ :: Log4j Appender,5.18.1,Apache-2.0,,
ActiveMQ :: MQTT Protocol,5.18.1,Apache-2.0,,
ActiveMQ :: Openwire Legacy Support,5.18.1,Apache-2.0,GPL-3.0-only,
ActiveMQ :: Partition Management,5.18.1,Apache-2.0,LGPL-2.1-only,
ActiveMQ :: Pool,5.18.1,Apache-2.0,MIT; GPL-3.0-only,
ActiveMQ Protocol Buffers Implementation and Compiler,1.1,Apache-2.0,,
ActiveMQ :: Run Jar,5.18.1,Apache-2.0,,
ActiveMQ :: Runtime Configuration,5.18.1,Apache-2.0,,
ActiveMQ :: Shiro,5.18.1,Apache-2.0,BSD-3-Clause,
ActiveMQ :: Spring,5.18.1,Apache-2.0,GPL-3.0-only,
ActiveMQ :: STOMP Protocol,5.18.1,Apache-2.0,,
ActiveMQ :: Web,5.18.1,Apache-2.0,GPL-2.0-with-classpath-exception; CDDL-1.0; Apache-1.0; mit-0,
Apache Commons BeanUtils,1.9.4,Apache-2.0,,
Apache Commons Codec,1.15,Apache-2.0,,
Apache Commons DBCP,2.9.0,Apache-2.0,Apache-1.1,
Apache Commons IO,2.11.0,Apache-2.0,,
Apache Commons Lang,3.12.0,Apache-2.0,,
Apache Commons Pool,2.11.1,Apache-2.0,Multi-license: Apache-2.0 OR cc-pd; Apache-1.1,
Apache HttpClient,4.5.14,Apache-2.0,,
Apache HttpCore,4.4.16,Apache-2.0,,
Apache :: JSTL module,9.4.51.v20230217,,EPL-2.0; EPL-1.0; GPL-2.0-with-classpath-exception; Apache-2.0; CDDL-1.0,
Apache Log4j API,2.20.0,Apache-2.0,MIT,
Apache Log4j Core,2.20.0,,Apache-2.0; MIT; BSD-2-Clause; CDDL-1.0; mit-old-style-no-advert,
Apache Log4j SLF4J 2.0 Binding,2.20.0,Apache-2.0,MIT,
Apache Shiro :: Core,1.11.0,Apache-2.0,MIT,
Apache Shiro :: Support :: Spring,1.11.0,Apache-2.0,MIT; BSD-3-Clause,
Apache Standard Taglib Implementation,1.2.5,Apache-2.0,,
Apache Velocity - Engine,2.3,,Multi-license: Apache-2.0 OR MIT; Apache-2.0,
Apache XBean :: Spring,4.22,Apache-2.0,,
Camel :: Core,2.25.4,,Multi-license: Apache-2.0 OR CDDL-1.1 OR MIT; Apache-2.0; Apache-1.1,
Camel :: JMS,2.25.4,Apache-2.0,Multi-license: Apache-2.0 OR CDDL-1.1 OR MIT; Apache-1.1,
Camel :: JSon Simple Ordered,2.25.4,Apache-2.0,Apache-1.1; CDDL-1.1,
Camel :: SPI Annotations,2.25.4,Apache-2.0,CDDL-1.1; Apache-1.1,
Camel :: Spring,2.25.4,Apache-2.0,Multi-license: Apache-2.0 OR CDDL-1.1 OR MIT; Apache-1.1,
commons-collections,3.2.2,Apache-2.0,,
Core :: HTTP,9.4.51.v20230217,,EPL-1.0; EPL-2.0; Apache-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
Core :: IO,9.4.51.v20230217,,EPL-2.0; EPL-1.0; CDDL-1.0; Apache-2.0; GPL-2.0-with-classpath-exception,
Core :: Rewrite,9.4.51.v20230217,,EPL-2.0; EPL-1.0; GPL-2.0-with-classpath-exception; CDDL-1.0; Apache-2.0,
Core :: Security,9.4.51.v20230217,,EPL-2.0; Apache-2.0; GPL-2.0-with-classpath-exception; EPL-1.0; CDDL-1.0,
Core :: Server,9.4.51.v20230217,,EPL-2.0; Apache-2.0; EPL-1.0; GPL-2.0-with-classpath-exception; CDDL-1.0; NCSA,
Core :: Utilities,9.4.51.v20230217,,EPL-2.0; EPL-1.0; Apache-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0; MIT,
Core :: XML,9.4.51.v20230217,,EPL-2.0; EPL-1.0; Apache-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
hawtbuf,1.11,Apache-2.0,,
istack common utility code runtime,3.0.11,BSD-3-Clause,Multi-license: EPL-2.0 OR GPL-2.0-with-classpath-exception; Multi-license: Apache-2.0 OR BSD-3-Clause OR MIT OR SAX-PD,
Jackson-annotations,2.14.2,Apache-2.0,,
Jackson-core,2.14.2,Apache-2.0,GPL-2.0-with-classpath-exception,
jackson-databind,2.14.2,Apache-2.0,ImageMagick,
Jakarta Messaging API,2.0.3,Multi-license: EPL-1.0 OR GPL-2.0-with-classpath-exception,BSD-3-Clause; Multi-license: EPL-2.0 OR GPL-2.0-only OR GPL-2.0-with-classpath-exception,
JASYPT: Java Simplified Encryption,1.9.3,Apache-2.0,Multi-license: Apache-2.0 OR ICU,
JASYPT: Java Simplified Encryption,1.9.3,Apache-2.0,Multi-license: Apache-2.0 OR ICU,
JavaBeans Activation Framework API jar,1.2.0,GPL-2.0-with-classpath-exception; CDDL-1.0,Apache-2.0; CDDL-1.1; GPL-2.0-only,
JAXB2 Basics - Runtime,0.12.0,BSD-2-Clause,,
jaxb-api,2.2.11,Multi-license: CDDL-1.0 OR CDDL-1.1 OR GPL-2.0-with-classpath-exception OR GPL-3.0-or-later,Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.0 OR CDDL-1.1 OR GPL-2.0-with-classpath-exception; Apache-2.0,
JAXB Core,2.2.11,Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception,Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Apache-2.0,
JAXB Runtime,2.2.11,Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception,Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Apache-2.0; Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception OR SAX-PD,
JCL 1.2 implemented over SLF4J,2.0.6,Apache-2.0; MIT,,
Jettison,1.5.3,Apache-2.0,,
Jetty :: Apache JSP Implementation,9.4.51.v20230217,,EPL-2.0; Apache-2.0; EPL-1.0; CDDL-1.0; GPL-2.0-with-classpath-exception,
Jetty :: Continuation,9.4.51.v20230217,,EPL-2.0; EPL-1.0; Apache-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
Jetty :: Plus,9.4.51.v20230217,,EPL-1.0; EPL-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0; Apache-2.0,
Jetty :: Servlet Annotations,9.4.51.v20230217,,EPL-1.0; Apache-2.0; EPL-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
Jetty :: Servlet Handling,9.4.51.v20230217,,EPL-2.0; EPL-1.0; Apache-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
Jetty :: Webapp Application Support,9.4.51.v20230217,,EPL-2.0; EPL-1.0; Apache-2.0; CDDL-1.0; GPL-2.0-with-classpath-exception,
Jetty :: Websocket :: API,9.4.51.v20230217,,EPL-2.0; EPL-1.0; Apache-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
Jetty :: Websocket :: Common,9.4.51.v20230217,,EPL-2.0; EPL-1.0; Apache-2.0; CDDL-1.0; GPL-2.0-with-classpath-exception,
Jetty :: Websocket :: Server,9.4.51.v20230217,,EPL-2.0; EPL-1.0; GPL-2.0-with-classpath-exception; Apache-2.0; CDDL-1.0,
Jetty :: Websocket :: Servlet,9.4.51.v20230217,,EPL-2.0; EPL-1.0; Apache-2.0; CDDL-1.0; GPL-2.0-with-classpath-exception,
JmDNS,3.5.8,Apache-2.0,,
jolokia-core,1.7.1,Apache-2.0,,
JSON.simple,1.1.1,Apache-2.0,,
MortBay :: Apache Jasper :: JSP Implementation,8.5.70,,Apache-2.0; Multi-license: Apache-2.0 OR EPL-1.0; CC0-1.0; Apache-1.1,
mqtt-client,1.16,Apache-2.0,,
org.apache.servicemix.bundles.josql,1.5_5,Apache-2.0,,
Proton-J,0.33.10,Apache-2.0,Apache-1.1,
rome,1.18.0,Apache-2.0,,
rome-utils,1.18.0,Apache-2.0,,
SLF4J API Module,2.0.6,MIT,,
XStream Core,1.4.20,BSD-3-Clause,,
Deep Dependencies,,,,
Title,Version,Declared License,Discovered License(s),
ActiveMQ :: All JAR bundle,6.0.1,,Apache-2.0; GPL-2.0-with-classpath-exception; ICU; EPL-2.0; BSD-3-Clause; GPL-2.0-only; GPL-3.0-only; MIT,
ActiveMQ :: AMQP,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: Broker,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: Camel,5.16.7,Apache-2.0,CDDL-1.1,
ActiveMQ :: Client,6.0.1,Apache-2.0,,
ActiveMQ :: Console,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: Generic JMS Pool,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: HTTP Protocol Support,6.0.1,Apache-2.0,EPL-2.0; EPL-1.0,
ActiveMQ :: JAAS,6.0.1,Apache-2.0,,
ActiveMQ :: JDBC Store,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: JUnit Rule,6.0.1,Apache-2.0,,
ActiveMQ :: KahaDB Store,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: MQTT Protocol,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: Openwire Legacy Support,6.0.1,Apache-2.0,,
ActiveMQ :: Pool,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: RA,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: Spring,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: STOMP Protocol,6.0.1,Apache-2.0,EPL-2.0,
ActiveMQ :: Unit Tests,6.0.1,Apache-2.0,EPL-2.0,
ant,1.6.5,,Apache-2.0; Multi-license: Apache-2.0 OR public-domain; Info-ZIP,
Apache Commons Codec,1.16.0,Apache-2.0,,
Apache Commons Compress,1.25.0,Apache-2.0,,
Apache Commons CSV,1.10.0,Apache-2.0,,
Apache Commons Daemon,1.3.4,Apache-2.0,,
Apache Commons IO,2.15.1,Apache-2.0,,
Apache Commons IO,2.8.0,Apache-2.0,,
Apache Commons Lang,3.11,Apache-2.0,,
Apache Commons Lang,3.14.0,Apache-2.0,,
Apache Commons Lang,3.8,Apache-2.0,,
Apache Commons Logging,1.2,Apache-2.0,,
Apache Commons Logging,1.3.0,Apache-2.0,,
Apache Commons Pool,2.10.0,Apache-2.0,,
Apache Commons Pool,2.12.0,Apache-2.0,cc-pd,
Apache Derby Database Engine and Embedded JDBC Driver,10.17.1.0,Apache-2.0,Unicode-DFS-2020; naist-2003,
Apache Derby Tools,10.17.1.0,Apache-2.0,naist-2003; Unicode-DFS-2020,
Apache Geronimo Annotation Spec 1.3,1.3,Apache-2.0,,
Apache Geronimo JMS Spec 2.0,1.0-alpha-2,Apache-2.0,Apache-1.1,
Apache Kafka,3.6.1,Apache-2.0,,
Apache Log4j 1.x Compatibility API,3.0.0-alpha1,Apache-2.0,MIT,
Apache Log4j API,3.0.0-alpha1,Apache-2.0,MIT,
Apache Log4j API Tests,3.0.0-alpha1,Apache-2.0,EPL-1.0; MIT; BSD-3-Clause,
Apache Log4j Core,3.0.0-alpha1,,Apache-2.0; MIT,
Apache Log4j Core Tests,3.0.0-alpha1,Apache-2.0,EPL-1.0; MIT; BSD-3-Clause,
Apache Log4j SLF4J 2.0 Binding,3.0.0-alpha1,Apache-2.0,MIT,
Apache Log4j SLF4J Binding,3.0.0-alpha1,Apache-2.0,MIT,
Apache Log4j to SLF4J Adapter,3.0.0-alpha1,Apache-2.0,MIT,
Apache Shiro :: Cache,2.0.0-alpha-4,Apache-2.0,,
Apache Shiro :: Configuration :: Core,2.0.0-alpha-4,Apache-2.0,,
Apache Shiro :: Configuration :: OGDL,2.0.0-alpha-4,Apache-2.0,,
Apache Shiro :: Core,2.0.0-alpha-4,Apache-2.0,,
Apache Shiro :: Cryptography :: Ciphers,2.0.0-alpha-4,Apache-2.0,,
Apache Shiro :: Cryptography :: Hashing,2.0.0-alpha-4,Apache-2.0,,
Apache Shiro :: Event,2.0.0-alpha-4,Apache-2.0,,
Apache Shiro :: Lang,2.0.0-alpha-4,Apache-2.0,Beerware,
Apache Shiro :: Support :: AspectJ,2.0.0-alpha-4,Apache-2.0,EPL-2.0,
Apache Shiro :: Support :: Spring,2.0.0-alpha-4,Apache-2.0,BSD-3-Clause,
Apache Shiro :: Web,2.0.0-alpha-4,Apache-2.0,BSD-3-Clause,
Apache Standard Taglib Specification API,1.2.5,Apache-2.0,,
Apache XBean :: Spring,4.24,Apache-2.0,,
Apache ZooKeeper - Server,3.9.1,Apache-2.0,,
asm,9.6,BSD-3-Clause,Apache-2.0,
asm-commons,9.6,BSD-3-Clause,Apache-2.0,
asm-util,9.2,BSD-2-Clause,BSD-3-Clause,
AssertJ Core,3.24.2,Apache-2.0,,
Awaitility,4.2.0,Apache-2.0,,
"Bouncy Castle PKIX, CMS, EAC, TSP, PKCS, OCSP, CMP, and CRMF APIs",1.70,BouncyCastle,,
Caffeine cache,3.1.8,Apache-2.0,CC0-1.0,
Camel :: Core,4.2.0,Apache-2.0,,
Camel :: Core XML,4.2.0,Apache-2.0,,
Camel :: Spring,4.2.0,Apache-2.0,,
Camel :: Test :: Spring (deprecated),3.21.3,Apache-2.0,,
cglib,3.3.0,,Apache-2.0; BSD-3-Clause,
cglib-nodep,3.3.0,Apache-2.0,,
commons-collections,20040616,Apache-2.0,,
commons-collections-testframework,3.2.1,Apache-2.0,,
Commons Lang,2.1,Apache-2.0,,
Commons Lang,2.6,Apache-2.0,,
Core :: HTTP Client,9.4.51.v20230217,,EPL-1.0; EPL-2.0; GPL-2.0-with-classpath-exception; Apache-2.0; CDDL-1.0,
Core :: JMX,9.4.51.v20230217,,EPL-1.0; EPL-2.0; GPL-2.0-with-classpath-exception; CDDL-1.0; Apache-2.0,
Core :: JNDI,12.0.4,,EPL-2.0; Apache-2.0,
Core :: JNDI,9.4.51.v20230217,,EPL-2.0; Apache-2.0; EPL-1.0; GPL-2.0-with-classpath-exception; CDDL-1.0,
Core :: Server,12.0.4,,EPL-2.0; Apache-2.0,
Core :: Utilities :: JSON,9.4.51.v20230217,,EPL-2.0; EPL-1.0; Apache-2.0; CDDL-1.0; GPL-2.0-with-classpath-exception,
Core :: XML,12.0.4,,EPL-2.0; Apache-2.0,
disruptor,1.2.21,Apache-2.0,,
Disruptor Framework,4.0.0,Apache-2.0,,
dom4j,20040902.021138,dom4j,,
EasyMock,3.0,Apache-2.0,,
EasyMock,3.3.1,Apache-2.0,,
EasyMock,4.2,Apache-2.0,,
EasyMock,5.2.0,,BSD-3-Clause; Apache-2.0,
Expression Language API (2.1 Maintenance Release),1.0,CDDL-1.1,,
Extended StAX API,2.1.0,BSD-3-Clause,Multi-license: Apache-2.0 OR BSD-3-Clause OR MIT OR SAX-PD; Multi-license: EPL-2.0 OR GPL-2.0-with-classpath-exception,
fastinfoset,2.1.1,Apache-2.0,Apache-1.1; BSD-3-Clause; GPL-2.0-with-classpath-exception; GPL-3.0-only; EPL-2.0,
FindBugs-jsr305,3.0.2,BSD-3-Clause,Apache-2.0; CC-BY-2.5,
"Geronimo Plugins, Connector :: Transaction",2.2.1,Apache-2.0,,
Geronimo TxManager :: Transaction,4.0.0,Apache-2.0,EPL-2.0,
Guava Testing Library,31.1-jre,Apache-2.0,,
H2 Database Engine,1.4.200,EPL-1.0; MPL-2.0,BSD-3-Clause; LGPL-2.1-or-later,
Hamcrest,2.2,Multi-license: BSD-2-Clause OR BSD-3-Clause,BSD-3-Clause,
Hamcrest Library,2.2,BSD-3-Clause,,
howl-logger,0.1.8,BSD-2-Clause,,
HyperSQL Database,2.5.1,Multi-license: BSD-2-Clause OR BSD-3-Clause,BSD-3-Clause,
HyperSQL Database,2.7.2,hsql,BSD-3-Clause,
icu4j,3.4.4,ICU,MIT; GPL-3.0-only,
istack common utility code runtime,3.0.7,Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception,Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Apache-2.0; Multi-license: CDDL-1.0 OR CDDL-1.1 OR GPL-2.0-with-classpath-exception; CDDL-1.1,
istack common utility code runtime,4.2.0,BSD-3-Clause,GPL-3.0-only; GPL-2.0-with-classpath-exception; EPL-2.0,
J2EE JACC 1.1,1.0.2,Apache-2.0,,
J2EE Management 1.1,1.0.1,Apache-2.0,,
Jackson-annotations,2.16.0,Apache-2.0,,
Jackson-core,2.16.0,Apache-2.0,MIT,
jackson-databind,2.16.0,Apache-2.0,ImageMagick,
Jackson-dataformat-XML,2.16.0,Apache-2.0,,
Jackson-dataformat-YAML,2.16.0,Apache-2.0,,
Jakarta Activation API,2.1.2,BSD-3-Clause,EPL-2.0; GPL-2.0-with-classpath-exception; GPL-3.0-only; EDL-1.0,
Jakarta Messaging API,3.1.0,Multi-license: EPL-1.0 OR EPL-2.0 OR GPL-2.0-with-classpath-exception,Multi-license: EPL-2.0 OR GPL-2.0-only OR GPL-2.0-with-classpath-exception; Multi-license: BSD-3-Clause OR EPL-2.0 OR GPL-2.0-with-classpath-exception; Multi-license: EPL-2.0 OR GPL-2.0-with-classpath-exception,
Jansi,2.4.1,Apache-2.0,,
JavaBeans Activation Framework,1.2.0,GPL-2.0-with-classpath-exception; CDDL-1.0,Apache-2.0; GPL-2.0-only; CDDL-1.1,
JavaBeans(TM) Activation Framework,1.1.1,Multi-license: CDDL-1.0 OR CDDL-1.1,Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; CDDL-1.0,
Java Concurrency Tools Core Library,4.0.2,Apache-2.0,,
JavaMail API,1.6.2,Multi-license: CDDL-1.0 OR GPL-2.0-only OR GPL-2.0-with-classpath-exception,Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.1 OR cockroach OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; Apache-2.0,
JavaMail API jar,1.6.2,Multi-license: CDDL-1.0 OR GPL-2.0-only OR GPL-2.0-with-classpath-exception,Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; Apache-2.0,
Java Object Layout: Core,0.16,GPL-2.0-with-classpath-exception,MIT,
JavaServer Pages(TM) API,2.1,,CDDL-1.0; Apache-2.0; proprietary-license; Apache-1.1,
Java Servlet API,4.0.1,Multi-license: CDDL-1.0 OR GPL-2.0-only OR GPL-2.0-with-classpath-exception,Apache-2.0; Multi-license: CDDL-1.0 OR GPL-2.0-with-classpath-exception; Multi-license: CDDL-1.1 OR GPL-2.0-with-classpath-exception,
JavaServlet(TM) Specification,2.4,Apache-2.0,,
JavaServlet(TM) Specification,2.5,,CDDL-1.0; proprietary-license,
